[DEBUG] 2021-11-24 21:52:46,758(0) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:65): enter ECIPwithCLS  
[DEBUG] 2021-11-24 21:56:00,840(0) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:65): enter ECIPwithCLS  
[DEBUG] 2021-11-24 21:56:00,844(4) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:66): virtual tag list size =4000actual tag list size =1000  
[DEBUG] 2021-11-24 21:56:00,844(4) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:67): virtual tag list:   
[DEBUG] 2021-11-24 21:56:41,481(1) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:65): enter ECIPwithCLS  
[DEBUG] 2021-11-24 21:56:41,483(3) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:66): virtual tag list size =12actual tag list size =3  
[DEBUG] 2021-11-24 21:56:41,483(3) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:67): virtual tag list:   
[DEBUG] 2021-11-24 21:56:41,483(3) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:69): actual tag list:   
[DEBUG] 2021-11-24 22:00:16,618(0) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:69): enter ECIPwithCLS  
[DEBUG] 2021-11-24 22:00:16,622(4) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:70): virtual tag list size =12actual tag list size =3  
[DEBUG] 2021-11-24 22:00:16,623(5) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:71): virtual tag list:   
[DEBUG] 2021-11-24 22:00:16,623(5) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:73): actual tag list:   
[DEBUG] 2021-11-24 22:00:16,623(5) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:75): unreadTagNum = 12  
[DEBUG] 2021-11-24 22:00:16,624(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:101):    
[DEBUG] 2021-11-24 22:00:16,625(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:102): in allocateRandomly()  
[DEBUG] 2021-11-24 22:09:46,218(0) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:69): enter ECIPwithCLS  
[DEBUG] 2021-11-24 22:09:46,221(3) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:70): virtual tag list size =12actual tag list size =3  
[DEBUG] 2021-11-24 22:09:46,221(3) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:71): virtual tag list:   
[DEBUG] 2021-11-24 22:09:46,221(3) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:73): actual tag list:   
[DEBUG] 2021-11-24 22:09:46,221(3) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:75): unreadTagNum = 12  
[DEBUG] 2021-11-24 22:09:46,221(3) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:00101011110011101000  
[DEBUG] 2021-11-24 22:09:46,223(5) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:3  
[DEBUG] 2021-11-24 22:09:46,223(5) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:11011000111100000010  
[DEBUG] 2021-11-24 22:09:46,223(5) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:9  
[DEBUG] 2021-11-24 22:09:46,223(5) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:10111010000100110010  
[DEBUG] 2021-11-24 22:09:46,224(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:13  
[DEBUG] 2021-11-24 22:09:46,224(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:11111111010001100110  
[DEBUG] 2021-11-24 22:09:46,224(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:17  
[DEBUG] 2021-11-24 22:09:46,224(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:11110100100100000001  
[DEBUG] 2021-11-24 22:09:46,224(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:0  
[DEBUG] 2021-11-24 22:09:46,224(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:00111011001010111101  
[DEBUG] 2021-11-24 22:09:46,226(8) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:16  
[DEBUG] 2021-11-24 22:09:46,226(8) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:10110111010101111110  
[DEBUG] 2021-11-24 22:09:46,227(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:5  
[DEBUG] 2021-11-24 22:09:46,227(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:11111001110000000110  
